2024/12/20 20:46:09 INFO El módulo CPU está a la escucha en el puerto :8004
2024/12/20 20:46:48 INFO ## PID 1 - TID: 0 - Solicito Contexto Ejecución.
2024/12/20 20:46:48 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 0.
2024/12/20 20:46:48 INFO ## PID: 1 TID: 0 - Ejecutando: SET - [DX 0].
2024/12/20 20:46:49 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 1.
2024/12/20 20:46:49 INFO ## PID: 1 TID: 0 - Ejecutando: SET - [AX 1].
2024/12/20 20:46:49 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 2.
2024/12/20 20:46:49 INFO ## PID: 1 TID: 0 - Ejecutando: THREAD_CREATE - [PLANI_THREAD 6].
2024/12/20 20:46:50 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 3.
2024/12/20 20:46:50 INFO ## PID: 1 TID: 0 - Ejecutando: SUM - [DX AX].
2024/12/20 20:46:50 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 4.
2024/12/20 20:46:50 INFO ## PID: 1 TID: 0 - Ejecutando: THREAD_CREATE - [PLANI_THREAD 5].
2024/12/20 20:46:51 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 5.
2024/12/20 20:46:51 INFO ## PID: 1 TID: 0 - Ejecutando: SUM - [DX AX].
2024/12/20 20:46:51 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 6.
2024/12/20 20:46:51 INFO ## PID: 1 TID: 0 - Ejecutando: THREAD_CREATE - [PLANI_THREAD 5].
2024/12/20 20:46:52 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 7.
2024/12/20 20:46:52 INFO ## PID: 1 TID: 0 - Ejecutando: SUM - [DX AX].
2024/12/20 20:46:52 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 8.
2024/12/20 20:46:52 INFO ## PID: 1 TID: 0 - Ejecutando: THREAD_CREATE - [PLANI_THREAD 6].
2024/12/20 20:46:53 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 9.
2024/12/20 20:46:53 INFO ## PID: 1 TID: 0 - Ejecutando: SUM - [DX AX].
2024/12/20 20:46:53 INFO ## PID: 1 TID: 0 - FETCH - Program Counter: 10.
2024/12/20 20:46:53 INFO ## PID: 1 TID: 0 - Ejecutando: THREAD_JOIN - [4].
2024/12/20 20:46:54 INFO ## PID: 1 TID: 0 - Actualizo Contexto Ejecución.
2024/12/20 20:46:54 INFO ## PID 1 - TID: 1 - Solicito Contexto Ejecución.
2024/12/20 20:46:55 INFO ## PID: 1 TID: 1 - FETCH - Program Counter: 0.
2024/12/20 20:46:55 INFO ## PID: 1 TID: 1 - Ejecutando: SET - [CX 5].
